email,first_name,website,city,last_name,profession
acramer@bhhsflpg.net,"Towne Premier Group : The Best Service in Real Estate",https://stowne.bhhsfloridaproperties.com,Valrico,Florida,"real estate agency"
eitan.gontovnik@urbanresource.com,"Urban Resource LLC",https://www.urbanresource.com,"Miami Beach",Florida,"real estate agency"
socialm@aretsifl.com,"All Real Estate Title Solutions Inc. (ARETSI)",http://www.aretsifl.com,Tampa,Florida,"real estate agency"
adam@ullianrealty.com,"The Ullian Realty Corporation",https://ullianrealty.com,Melbourne,Florida,"real estate agency"
contact@atlasvh.com,"Atlas Vacation Homes",http://www.atlasvacationhomes.com,Kissimmee,Florida,"real estate agency"
cv@valencerealty.com,"Valence Realty Group",http://www.valencerealty.com,Maitland,Florida,"real estate agency"
broker@624home.com,"Home Sales and Property Management",http://www.homepropertymanagement.com,"Palm Beach Gardens",Florida,"real estate agency"
aalonso@mcquaidco.com,"McQuaid & Company Real Estate Services - Bayfront",http://www.mcquaidco.com,Naples,Florida,"real estate agency"
andrea@beachfrontrealty.net,"Beach Front Mann Realty & Management",http://www.beachfrontrealty.net,Stuart,Florida,"real estate agency"
account@remax.com,"The Tublitz Advantage",http://tublitz.com,"Boca Raton",Florida,"real estate agency"
rent@csbvr.com,"Cape San Blas Vacation Rentals, Inc.",http://www.capesanblasvacationrentals.com,"Port St Joe",Florida,"real estate agency"
info@dinardorealestate.com,"DiNardo Property Management & Real Estate",http://www.dinardorealestate.com,"Port Orange",Florida,"real estate agency"
info@vacationrentaltime.com,"Vacation Rentals Beach Properties",http://vacationrentaltime.com,"St. Augustine",Florida,"real estate agency"
sailpointbay@cpsinc.org,"Sailpoint Bay",http://www.sailpointbayapartments.com,"Daytona Beach",Florida,"real estate agency"
donna@nsbhomes.com,"Anna Grainger - NSB Homes",http://nsbhomes.com,"New Smyrna Beach",Florida,"real estate agency"
bparham@riveroakrealty.net,"River Oak Realty",http://www.riveroakrealty.net,"Orange Park",Florida,"real estate agency"
admin1630267912676@webdev.com,"Oceans Luxury Realty",http://oceansluxuryrealty.com,"Daytona Beach",Florida,"real estate agency"
admin1630268643743@webdev.com,"Top Flight Properties LLC",http://topflightrealtors.com,"Port Orange",Florida,"real estate agency"
cb.eidson@premiersir.com,"William Frank Surgeon III P.A. Premier Sotheby's International Realty",http://williamsurgeon.com,"St. Petersburg",Florida,"real estate agency"
and@greatoceancondos.com,"Ocean Club at Turtle Mound",http://www.greatoceancondos.com,"New Smyrna Beach",Florida,"real estate agency"
jjandrew@oceanprops.com,"Ocean Properties & Management Inc",http://www.oceanprops.com,"New Smyrna Beach",Florida,"real estate agency"
info@bluemarlinre.com,"Quinci Jenkins Smith-Realtor-Blue Marlin Real Estate",http://www.bluemarlinre.com,"Merritt Island",Florida,"real estate agency"
donna@mskilaw.com,"DR Properties",http://www.drpropertiesnow.com,"Port Orange",Florida,"real estate agency"
compliance@boomtownroi.com,"Northwest Florida Beach Homes",http://nwflbeachhomes.com,"Santa Rosa Beach",Florida,"real estate agency"
info@flatratepropertymanagement.com,"Flat Rate Property Management",http://flatratepropertymanagement.com,,,"real estate agency"
info@donasher.com,"Don Asher and Associates, Inc.",http://donasher.com,Orlando,Florida,"real estate agency"
here@nsbproperty.com,"Lindsey Baldwin, REALTOR®- Collado Real Estate",http://nsbproperty.com,"New Smyrna Beach",Florida,"real estate agency"
info@floridaonerealestate.com,"Florida One Real Estate",http://floridaonerealestate.com,"Winter Park",Florida,"real estate agency"
contact@allcountypremier.com,"All County® Premier Property Management",https://www.allcountypremier.com,Orlando,Florida,"real estate agency"
bob@atkinscre.com,"Atkins Commercial Real Estate LLC",http://www.atkinscre.com,Maitland,Florida,"real estate agency"
hello@meyerlucas.com,"Compass Real Estate",https://www.meyerlucas.com,Jupiter,Florida,"real estate agency"
glay@eragrizzard.com,"ERA Grizzard Real Estate",http://www.eragrizzard.com,DeLand,Florida,"real estate agency"
angel@legendsre.com,"Legends Realty",http://www.centralflrentals.com,"Lake Mary",Florida,"real estate agency"
info@gaffsrealty.com,"Gaff's Referrals Inc",http://www.gaffsrealty.com,"Port Orange",Florida,"real estate agency"
jim@coastalrealtyservices.com,"Coastal Realty Services",http://www.coastalrealtyservices.com,"Fort Walton Beach",Florida,"real estate agency"
info@riserealty.com,"Rise Realty",http://www.riserealty.com,Miami,Florida,"real estate agency"
info@bluerealty.net,"Blue Realty & Development Company",http://bluerealty.net,"Daytona Beach",Florida,"real estate agency"
amy@blurockcommercial.com,"BluRock Commercial Real Estate, LLC",http://blurockcommercial.com,Orlando,Florida,"real estate agency"
info@propertiesmiami.com,"Properties Miami",https://propertiesmiami.com,Miami,Florida,"real estate agency"
info@orangerealty.pro,"Orange Realty",http://www.orangerealty.pro,Orlando,Florida,"real estate agency"
alex@americascre.com,"Almacenes a la Renta",http://www.americascre.com,Hialeah,Florida,"real estate agency"
info@seasidecapecoral.com,"Seaside Realty Property Management",http://www.seasidecapecoral.com,"Cape Coral",Florida,"real estate agency"
reservations@compassrentals.com,"Compass Vacation Rentals",http://www.compassrentals.com,"St. Petersburg",Florida,"real estate agency"
bryan@mayhughcommercial.com,"Mayhugh Commercial Advisors",https://mayhughcommercial.com,"Fort Myers",Florida,"real estate agency"
thernandez@rmchomemortgage.com,"Daytona Park Estates by Maronda Homes",https://www.marondahomes.com,DeLand,Florida,"real estate agency"
blopreste@kolter.com,"The Kolter Group LLC",http://www.kolter.com,"Delray Beach",Florida,"real estate agency"
info@rtcglobal.net,"Kyree Morris Real Estate Expert (RE/MAX Town Centre)",http://floridadreamliving.com,Orlando,Florida,"real estate agency"
info@angelpm.com,"Angel Property Management & Real Estate",http://www.angelpm.com,Tamarac,Florida,"real estate agency"
concierge@smithandassociates.com,"Juan Martinez- Smith & Associates Realtor®",https://juanmartinez.smithandassociates.com,Tampa,Florida,"real estate agency"
customer@watsonrealtycorp.com,"Elizabeth K Balaschak, Realtor",http://ebalaschak.watsonrealtycorp.com,"St Augustine Beach",Florida,"real estate agency"
information@mcdarghconsulting.com,"McDargh Real Estate Services",http://www.mcdarghconsulting.com,Tampa,Florida,"real estate agency"
angela@greenriverpm.com,"Green River Property Management",https://www.jacksonvillespropertymanagement.com,Jacksonville,Florida,"real estate agency"
dbrown@dbaprime.com,"DBA Prime Properties",https://dbaprime.com,"Delray Beach",Florida,"real estate agency"
rentals@homerentalsdepot.com,"Home Rentals Depot",http://www.homerentalsdepot.com,"St Cloud",Florida,"real estate agency"
info@thecorcoranconnection.com,"Carmelo Oquendo Jr Realtor",https://www.thecorcoranconnection.com,"St Cloud",Florida,"real estate agency"
concierge@sunsetkeycottages.com,"Sunset Key, Key West, Florida",https://www.sunsetkeycottages.com,"Key West",Florida,"real estate agency"
adiaz@gofreedomrealty.com,"Freedom Realty Source",https://www.freedomrealtysource.com,Kissimmee,Florida,"real estate agency"
info@physicianloansusa.com,"Physician Loans USA | 100% NO PMI Doctor Loan",https://www.physicianloansusa.com,,,"real estate agency"
info@ownrealty.com,"OWN Realty",http://www.ownrealty.com,Miami,Florida,"real estate agency"
sales@c21commander.com,"CENTURY 21 Commander Realty",http://c21commander.com,"Panama City",Florida,"real estate agency"
abibbs@willowcreek.org,"Camsun Vacation",http://www.holidayrentalflorida.com,,,"real estate agency"
support@placester.com,"Leneé K. Magnuson",https://www.leneek.com,Windermere,Florida,"real estate agency"
audra@palmanogroup.com,"Palmano Group Real Estate Brokerage, LLC",https://www.palmanogroup.com,"Winter Park",Florida,"real estate agency"
helpdesk@realliving.com,"First Service Realty Inc",https://www.realliving.com,Miami,Florida,"real estate agency"
cape_coral@r1s1.com,"Rent 1 Sale 1 Realty - Pembroke Pines",http://www.rent1sale1.com,"Pembroke Pines",Florida,"real estate agency"
marcus@mbthomes.com,"MBT Homes - Vacation Home Specialist",http://www.mbthomes.com,Kissimmee,Florida,"real estate agency"
info@exitriversiderealty.com,"EXIT Riverside Realty",http://exitriversiderealty.com,Dunnellon,Florida,"real estate agency"
privacy@connecttoneighbors.com,Palencia,https://www.palenciaonline.com,"St. Augustine",Florida,"real estate agency"
info@davisregroup.com,"Davis Real Estate Group",http://www.davisregroup.com,"St Cloud",Florida,"real estate agency"
murraycoleman@kw.com,"The Montgomery Group at Keller Williams Advantage III",http://www.montgomeryfl.com,Orlando,Florida,"real estate agency"
careers@christiesrennj.com,"Christie's International Real Estate",https://www.christiesrealestate.com,"Palm Beach",Florida,"real estate agency"
contact@iberopropertymgmt.com,"IBERO PROPERTY MANAGEMENT & REAL ESTATE SERVICES",http://www.iberopropertymgmt.com,"West Palm Beach",FL,"real estate agency"
info@simplyfloridarealestate.com,"The Barnes Real Estate Team, Keller Williams Realty at the Lakes",https://www.barnesteamfl.com,Celebration,Florida,"real estate agency"
eben@eyebytes.com,"JACKSONVILLE REO AND BPO SPECIALISTS",http://jaxreobroker.com,"Jacksonville Beach",Florida,"real estate agency"
james@colosseumproperties.com,"Colosseum Properties",https://www.colosseumproperties.com,"St Cloud",Florida,"real estate agency"
maria@marreroshomesrealty.com,"Marrero's Homes Realty Inc.",http://www.marreroshomesrealty.com,"St Cloud",Florida,"real estate agency"
alice@century21collinsrealty.com,"CENTURY 21 Collins Realty, Inc.",http://www.century21collinsrealty.com,"St George Island",Florida,"real estate agency"
relo@myfloridamove.com,"Berkshire Hathaway HomeServices Results Realty",http://www.bhhsresults.com,Orlando,Florida,"real estate agency"
collin@munnsrealestate.com,"MUNNS REAL ESTATE Co",http://munnsrealestate.com,"St Cloud",Florida,"real estate agency"
corporatecommunications@weichertrealtors.net,"Weichert Realtors, Best Beach Real Estate",https://www.weichert.com,Miami,Florida,"real estate agency"
hklarosa@larosarealtycorp.com,"La Rosa Realty St. Cloud",http://joinlarosa.com,"St Cloud",Florida,"real estate agency"
donnie@mybluewaterrealty.com,"Blue Water Realty Investment Llc",http://www.mybluewaterrealty.com,Longwood,Florida,"real estate agency"
sale@this.is,"Russian Realtor Orlando, FL. / Zoya Solovyeva",http://zoyasells.com,Orlando,Florida,"real estate agency"
christine@stcloudpropertygroup.com,"St Cloud Property Group",http://www.stcloudpropertygroup.com,Orlando,Florida,"real estate agency"
abond@wemertgrouprealty.com,"Wemert Group Realty",https://www.wemertgrouprealty.com,Orlando,Florida,"real estate agency"
contact@condoblackbook.com,"Blackbook Properties",https://www.condoblackbook.com,Miami,Florida,"real estate agency"
c21ivr@bellsouth.net,"Century 21 Island View Realty",http://www.navarrebeach21.com,Navarre,Florida,"real estate agency"
info@theresidencesorlando.com,"Stockworth Realty Group",https://www.stockworth.com,Orlando,Florida,"real estate agency"
cbrown@stirlingprop.com,"Stirling Properties",http://www.stirlingprop.com,Pensacola,Florida,"real estate agency"
camelot@floridahometoday.com,"Camelot Inc., Realtors",http://floridahometoday.com,"New Port Richey",Florida,"real estate agency"
cheryl@oldekissimmeerealty.com,"Olde Kissimmee Realty Inc",https://oldekissimmeerealty.com,Kissimmee,Florida,"real estate agency"
betty@bettyfountain.com,"Realty Associates of Santa Rosa, Inc.",http://bettyfountain.com,Navarre,Florida,"real estate agency"
info@centralamericasecondhomes.com,"Central America Second Homes",http://centralamericasecondhomes.com,"Pembroke Pines",Florida,"real estate agency"
dataprivacy@revlocal.com,"Team Heather & Danielle – Momentum Realty",https://www.teamheatheranddaniellefl.com,"St Johns",Florida,"real estate agency"
info@binfresco.com,"Zoom Loans",https://www.zoomloans.com,Miami,Florida,"real estate agency"
oceanreef@oceanreefresorts.com,"Ocean Reef Vacation Rentals & Real Estate",https://www.oceanreefresorts.com,"Miramar Beach",Florida,"real estate agency"
basiljr@realtyhouse.com,"Realty House Commercial Properties",http://www.realtyhouse.com,"Fort Walton Beach",Florida,"real estate agency"
mzilbert@zilbert.com,"Mark Zilbert at Brown Harris Stevens",https://www.zilbert.com,"Miami Beach",Florida,"real estate agency"
compliance@placester.com,"The Premier Luxury Team Realty in Lighthouse Point",http://thepremierluxuryteam.com,"Lighthouse Point",Florida,"real estate agency"
doxios@naimiami.com,"NAI Miami",http://www.naimiami.com,Miami,Florida,"real estate agency"
info@choosegulfcoast.com,"Gulf Coast Property Management",https://www.choosegulfcoast.com,Sarasota,Florida,"real estate agency"
info@teachernextdoor.us,"Soldier Next Door",https://www.teachernextdoor.us,Lakeland,Florida,"real estate agency"
info@properties.rent,"Florida Property Management Services LLC",http://www.properties.rent,"Boca Raton",Florida,"real estate agency"
brendan.maiorana@highwoods.com,"Highwoods Properties Inc",https://www.highwoods.com,"Fort Lauderdale",Florida,"real estate agency"
matthew@floridaluxrealestate.com,"Miami Condos for Sale - Miami Condos",https://www.floridaluxrealestate.com,Miami,Florida,"real estate agency"
info@miamicondoinvestments.com,"Natalia Sgibneva Realtor Luxe Living Realty",http://miamicondoinvestments.com,Miami,Florida,"real estate agency"
info@miamicondolifestyle.com,"Miami Condo Lifestyle - Vandenburg Properties",http://www.miamicondolifestyle.com,,,"real estate agency"
chime@chime.me,"South Florida Luxury Home Group",https://www.southfloridaluxuryhomegroup.com,"Boca Raton",Florida,"real estate agency"
accessibility@agent3000.com,"Amy Robbins, Realtor",http://www.ticket-to-paradise.com,"Cape Coral",Florida,"real estate agency"
gisela@werentsunshine.com,"Walter Williams Property Management",http://rentstaugustine.com,"St. Augustine",Florida,"real estate agency"
20arrington@duckiespressurewash.com,"The Duncan Duo Team at RE/MAX",http://www.theduncanduo.com,Tampa,Florida,"real estate agency"
info@swfl-rentals.com,"SWFL Real Estate Services, LLC",http://www.swfl-rentals.com,"Cape Coral",Florida,"real estate agency"
contact@costamiamihomes.com,"Costa Miami Homes",http://www.costamiamihomes.com,"North Bay Village",Florida,"real estate agency"
clientservices@verandahproperties.com,"Verandah Properties, LLC",http://www.verandahproperties.com,Orlando,Florida,"real estate agency"
abbi@palermolistings.com,"Palermo Real Estate Professionals",https://palermolistings.com,Tampa,Florida,"real estate agency"
info@miami-propertymanagement.com,"Casas en Miami - Bahia International Realty",https://www.miamiinmuebles.com,Miami,Florida,"real estate agency"
info@vintagerealestate.net,"Vintage Real Estate Services",https://www.tampabaypropertymanagement.net,Brandon,Florida,"real estate agency"
info@vizcayne.com,"Vizcayne Realty - Condos for Sale and Rent in Downtown Miami",http://www.vizcayne.com,Miami,Florida,"real estate agency"
geo@closersondemand.com,"Closers On Demand, Inc.",http://www.closersondemand.com,,,"real estate agency"
adminfl@exprealty.com,"Melissa Wride-Auer - Vacasa Real Estate",http://melissasellsemeraldcoast.com,,,"real estate agency"
hello@joshsteinrealtor.com,"Josh Stein Realtor",https://www.joshsteinrealtor.com,"Miami Beach",Florida,"real estate agency"
info@mannyingco.com,"Manny Ingco Real Estate Team - Mancarmic Property Management",http://www.mannyingco.com,,,"real estate agency"
angela@miamiresidence.com,"Miami Residence",http://www.miamiresidence.com,Aventura,Florida,"real estate agency"
info@ndiscovered.com,"Pelican Bay Realty",http://www.pelicanbayrealty-fl.com,Naples,Florida,"real estate agency"
amanda@brokernation.net,"BrokerNation Real Estate",http://www.joinbrokernation.net,"North Miami",Florida,"real estate agency"
sales@realtygroupfl.com,"Fusilier Realty Group Harmony",https://www.realtygroupfl.com,Harmony,Florida,"real estate agency"
heloisa@amgintrealty.com,"AMG International Realty",https://amgintrealty.com,"Hallandale Beach",Florida,"real estate agency"
asdockery@mac.com,"RE/MAX EXPERTS",https://centralfloridaexperts.com,Lakeland,Florida,"real estate agency"
email@dinamitadigital.com,"Casas, Apartamentos, Inmobiliaria en Miami",http://pedrojvelasco.com,"Miami Beach",Florida,"real estate agency"
mandyocallaghan@kw.com,"Mandy O'Callaghan-Realtor",https://www.tallyishome.com,Tallahassee,Florida,"real estate agency"
roger.shields@elliman.com,"Florida Keys Real Estate",http://www.rogershields.com,"Key Largo",Florida,"real estate agency"
arlett@kensingtonandco.com,"Kensington & Company (Broker Tyler Tuchow- Luxury Residential & Commercial Real Estate)",http://kensingtonandco.com,"Fort Lauderdale",Florida,"real estate agency"
info@svnsaunders.com,"Coldwell Banker Commercial Saunders Ralston Realty",http://srdcommercial.com,Lakeland,Florida,"real estate agency"
arrived@the.in,"LoKation® Real Estate",https://floridalokation.com,"Bonita Springs",Florida,"real estate agency"
info@bappsystems.com,"BUYER ASSISTANCE PARTICIPATION PROGRAM SYSTEMS",http://bappsystems.com,,,"real estate agency"
concierge@metroagents.com,"RE/MAX Metro | Treasure Island",http://www.metroagents.com,"Treasure Island",Florida,"real estate agency"
sales@miamiresidential.com,"Grovenor House",https://miamiresidential.com,"Coconut Grove",Florida,"real estate agency"
angela@brandywinehomesusa.com,"Brandywine Realty USA",http://www.brandywinehomesusa.com,"Orange Park",Florida,"real estate agency"
info@palazzodellaluna.com,"Palazzo Della Luna, Fisher Island REAL ESTATE SALES",http://palazzodellaluna.com,"Miami Beach",Florida,"real estate agency"
20mbecker@embracehomeloans.com,"Exit 1st Class Realty",http://www.mybrevardfloridahomes.com,Melbourne,Florida,"real estate agency"
albert@tridentmiami.com,"Trident Real Estate & Trident Management",http://www.tridentmiami.com,"Miami Beach",FL,"real estate agency"
ashley.austian@raveis.com,"Naples Real Estate - Renee Hahn - William Raveis",https://www.yournaplesexpert.com,Naples,Florida,"real estate agency"
bwalker@homeandcondo.com,"Home & Condo Rentals, Inc.",http://www.homeandcondo.com,Venice,FL,"real estate agency"
aliciad@broderickrealty.com,"Broderick & Associates Inc",https://broderickrealty.com,"Pinellas Park",Florida,"real estate agency"
tim@equityrealty.com,"The Quarry",http://www.thequarry.com,Naples,Florida,"real estate agency"
289-1351lesley.garlock@raveis.com,"William Raveis-Florida Rentals",https://www.raveisfloridarentals.com,Naples,Florida,"real estate agency"
careers@bhhsfloridarealty.net,"Main Street Realtors",http://www.mainstreetrealtors.com,Windermere,Florida,"real estate agency"
bill@southcp.com,"Parkview Realty",https://www.parkviewproperties.com,"Boca Raton",Florida,"real estate agency"
info@robertslack.com,"Robert Slack Real Estate Team Key West",https://robertslack.com,,,"real estate agency"
info@onecommercialre.com,"one commercial",http://onecommercialre.com,"Coral Gables",Florida,"real estate agency"
austin@cprteam.com,"industrial commercial real estate in pinellas county",http://pinellasindustrialrealestate.com,"St. Petersburg",Florida,"real estate agency"
lisa@treugroup.com,"Treu Group Real Estate",http://www.treugroup.com,"Delray Beach",Florida,"real estate agency"
reservations@downhomepm.com,"Down Home Properties",http://downhomepm.com,Wildwood,Florida,"real estate agency"
cheryl@sandcastlerealtyinc.com,"Sandcastle Realty Inc",http://sandcastlerealtyinc.com,"Treasure Island",Florida,"real estate agency"
dave@siestakey.com,"Tropical Sands Accommodations",http://www.siestakey.com,Sarasota,Florida,"real estate agency"
contact@southbeachcondoagent.com,"South Beach Condo Agent",http://www.southbeachcondoagent.com,"Miami Beach",Florida,"real estate agency"
jerryosinski@bhhsfloridarealty.net,"On the Gulf Group at BHHS Florida Realty",http://www.onthegulfgroup.com,Naples,Florida,"real estate agency"
claims@kayifi.com,Kayifi,https://www.kayifi.com,"Crystal River",Florida,"real estate agency"
one@the.in,"Elite Ocean View Realty",http://www.eliteoceanviewrealty.com,"Miami Beach",Florida,"real estate agency"
aridispenza@centralcommercialre.com,"Central Commercial Real Estate",http://centralcommercial.com,Miami,Florida,"real estate agency"
info@gocommercial.com,"GoCommercial Group at Compass",https://www.gocommercial.com,"Fort Lauderdale",Florida,"real estate agency"
info@hovergirlproperties.com,"Hover Girl Properties",http://www.hovergirlproperties.com,Jacksonville,Florida,"real estate agency"
ialcarioti@century21.com,"Century 21 Carioti Downtown",http://c21carioti.com,Orlando,Florida,"real estate agency"
info@thespacebrokers.com,"The Space Brokers",http://www.thespacebrokers.com,Miami,Florida,"real estate agency"
matt@naplesgolfguy.com,"Naples Golf Guy",https://naplesgolfguy.com,Naples,Florida,"real estate agency"
filler@godaddy.com,"Ryan Greenblatt",https://canadafloridarealestate.com,,,"real estate agency"
bgodwin@beautifulbeach.com,"Dune Allen Realty Vacation Rentals",https://www.beautifulbeach.com,"Santa Rosa Beach",Florida,"real estate agency"
anthonyaddorisio@kw.com,"Keller Williams Realty of Port St. Lucie",https://portstlucie.yourkwoffice.com,"Port St. Lucie",Florida,"real estate agency"
dlongway@fbcbuilder.com,"Harbour Heights by Maronda Homes",https://www.marondahomes.com,"Punta Gorda",Florida,"real estate agency"
websiterentals@pbgrande.com,"Parsley-Baldwin Realty/PB Grande",http://www.pbgrande.com,"Boca Grande",Florida,"real estate agency"
bretthendricks@michaelsaunders.com,"Michael Saunders & Company - Boca Grande Real Estate",https://www.michaelsaunders.com,"Boca Grande",Florida,"real estate agency"
info@banyannaples.com,"J&M Properties of Naples, LLC",http://www.jandmofnaples.com,Naples,Florida,"real estate agency"
info@primalucelife.com,"Prima Luce on the Waterfront",https://primalucelife.com,"Fort Myers",Florida,"real estate agency"
andy@andyframe.com,"Christian Angle Real Estate",http://www.anglerealestate.com,"Palm Beach",Florida,"real estate agency"
george@beachviewvacationrentals.com,"Beachview Vacation Rentals",http://www.beachviewvacationrentals.com,Destin,Florida,"real estate agency"
info@octazon.com,"Octazon Management",http://www.octazon.com,"North Miami Beach",Florida,"real estate agency"
mauricio@miamisignaturehomes.com,"Mauricio J. Barba | Miami Signature Homes @COMPASS",http://www.miamisignaturehomes.com,,,"real estate agency"
